Day,Close,volume
2017/5/22,3411.24,92539559
2017/5/23,3424.19,116911033
2017/5/24,3424.17,83553161
2017/5/25,3485.66,130721631
2017/5/26,3480.43,103241153
2017/5/31,3492.88,104829744
2017/6/1,3497.74,103127724
2017/6/2,3486.51,82668010
2017/6/5,3468.75,79738152
2017/6/6,3492.88,64089388
2017/6/7,3533.87,104419968
2017/6/8,3560.98,90224905
2017/6/9,3576.17,101188265
2017/6/12,3574.39,90381167
2017/6/13,3582.27,75177138
2017/6/14,3535.3,83810783
2017/6/15,3528.79,82632535
2017/6/16,3518.76,76452707
2017/6/19,3553.67,79797141
2017/6/20,3546.49,80509559
2017/6/21,3587.96,87859824
2017/6/22,3590.34,135526987
2017/6/23,3622.88,105129134
2017/6/26,3668.09,134637995
2017/6/27,3674.72,97558702
2017/6/28,3646.17,97920858
2017/6/29,3668.83,85589498
2017/6/30,3666.8,81510028
2017/7/3,3650.85,88820860
2017/7/4,3619.98,95071413
2017/7/5,3659.68,88232425
2017/7/6,3660.1,102379245
2017/7/7,3655.93,103735497
2017/7/10,3653.69,120591910
2017/7/11,3670.81,118760826
2017/7/12,3658.82,122287792
2017/7/13,3686.92,125669549
2017/7/14,3703.09,105514005
2017/7/17,3663.56,178821600
2017/7/18,3667.18,124622056
2017/7/19,3729.75,182477787
2017/7/20,3747.88,142410039
2017/7/21,3728.6,117941226
2017/7/24,3743.47,134868722
2017/7/25,3719.56,121672059
2017/7/26,3705.39,136325210
2017/7/27,3712.19,145002904
2017/7/28,3721.89,111411392
2017/7/31,3737.87,148429039
2017/8/1,3770.38,152546539
2017/8/2,3760.85,172293383
2017/8/3,3727.83,146153944
2017/8/4,3707.58,157470060
2017/8/7,3726.79,124231530
2017/8/8,3732.21,137241928
2017/8/9,3731.04,124679989
2017/8/10,3715.92,130085128
2017/8/11,3647.35,150387421
2017/8/14,3694.68,115308451
2017/8/15,3706.06,106444857
2017/8/16,3701.42,104134141
2017/8/17,3721.28,108656251
2017/8/18,3724.67,96561705
2017/8/21,3740.99,100313073
2017/8/22,3752.3,100292856
2017/8/23,3756.09,104961573
2017/8/24,3734.65,89947372
2017/8/25,3795.75,129940900
2017/8/28,3842.71,185576325
2017/8/29,3834.54,128227070
2017/8/30,3834.3,141352857
2017/8/31,3822.09,132944935
2017/9/1,3830.54,158645511
2017/9/4,3845.62,149566320
2017/9/5,3857.05,124964155
2017/9/6,3849.45,131398723
2017/9/7,3829.87,123884181
2017/9/8,3825.99,106036504
2017/9/11,3825.65,123883997
2017/9/12,3837.93,144190242
2017/9/13,3842.61,95410785
2017/9/14,3829.96,115358583
2017/9/15,3831.3,122427006
2017/9/18,3843.14,117934405
2017/9/19,3832.12,112432987
2017/9/20,3842.44,101129542
2017/9/21,3837.82,111098192
2017/9/22,3837.73,100619802
2017/9/25,3817.79,103948976
2017/9/26,3820.78,81869407
2017/9/27,3821.2,85655811
2017/9/28,3822.54,93544069
2017/9/29,3836.5,93306028
2017/10/9,3882.21,135535851
2017/10/10,3889.86,112532586
2017/10/11,3902.69,104418151
2017/10/12,3912.95,94340921
2017/10/13,3921,90142068
2017/10/16,3913.45,121355033
2017/10/17,3913.07,82241227
2017/10/18,3944.16,100969841
2017/10/19,3931.25,106527252
2017/10/20,3926.85,72980180
2017/10/23,3930.8,81484980
2017/10/24,3959.4,93058154
2017/10/25,3976.95,88205458
2017/10/26,3993.58,129895465
2017/10/27,4021.97,126672846
2017/10/30,4009.72,157387603
2017/10/31,4006.72,109178779
2017/11/1,3996.62,130417380
2017/11/2,3997.13,126100579
2017/11/3,3992.7,129404439
2017/11/6,4020.89,122081159
2017/11/7,4054.25,152116663
2017/11/8,4048.01,150827719
2017/11/9,4075.9,121056335
2017/11/10,4111.91,141817165
2017/11/13,4128.07,151446309
2017/11/14,4099.35,143236936
2017/11/15,4073.67,120635696
2017/11/16,4105.01,121384414
2017/11/17,4120.85,191784119
2017/11/20,4143.83,137447258
2017/11/21,4217.7,180350821
2017/11/22,4227.57,186477003
2017/11/23,4102.4,178147228
2017/11/24,4104.2,130858040
2017/11/27,4049.95,143455268
2017/11/28,4055.82,102058095
2017/11/29,4053.75,124553642
2017/11/30,4006.1,107983345
2017/12/1,3998.14,97386913
2017/12/4,4018.86,102647219
2017/12/5,4040.17,154087076
2017/12/6,4015.82,109286205
2017/12/7,3971.06,90254045
2017/12/8,4003.38,89282861
2017/12/11,4069.5,97148946
2017/12/12,4016.02,84338718
2017/12/13,4050.09,77546131
2017/12/14,4026.15,80768862
2017/12/15,3980.86,89044389
2017/12/18,3985.29,77853375
2017/12/19,4035.33,77528985
2017/12/20,4030.49,90604503
2017/12/21,4067.85,96836089
2017/12/22,4054.6,73473684
2017/12/25,4041.54,91926962
2017/12/26,4053.62,91118790
2017/12/27,3991.21,105153577
2017/12/28,4018.9,118542886
2017/12/29,4030.85,90486683
2018/1/2,4087.4,146935435
2018/1/3,4111.39,151852218
2018/1/4,4128.81,134543794
2018/1/5,4138.75,149009872
2018/1/8,4160.16,173877666
2018/1/9,4189.3,139034294
2018/1/10,4207.81,151121666
2018/1/11,4205.59,121578539
2018/1/12,4225,111354794
2018/1/15,4225.24,170907897
2018/1/16,4258.47,161494963
2018/1/17,4248.12,214311032
2018/1/18,4271.42,172032846
2018/1/19,4285.4,209490570
2018/1/22,4336.6,174643195
2018/1/23,4382.61,201867585
2018/1/24,4389.89,219818889
2018/1/25,4365.08,195374950
2018/1/26,4381.3,177227237
2018/1/29,4302.02,191100354
2018/1/30,4256.1,139034730
2018/1/31,4275.9,145210164
2018/2/1,4245.9,190002934
2018/2/2,4271.23,146066827
2018/2/5,4274.15,161347799
2018/2/6,4148.89,214910450
2018/2/7,4050.5,203127493
2018/2/8,4012.05,159269985
2018/2/9,3840.65,206349828
2018/2/12,3890.1,116182637
2018/2/13,3935.63,112565885
2018/2/14,3966.96,71081338
2018/2/22,4052.73,105811571
2018/2/23,4071.09,99458746
2018/2/26,4118.42,137881001
2018/2/27,4058.98,125934470
2018/2/28,4023.64,109343593
2018/3/1,4049.09,110199852
2018/3/2,4016.46,96165000
2018/3/5,4018.1,87952548
2018/3/6,4066.56,138762444
2018/3/7,4036.65,106952426
2018/3/8,4077.6,91155810
2018/3/9,4108.87,113701808
2018/3/12,4127.67,140906739
2018/3/13,4091.25,111766430
2018/3/14,4073.34,99013409
2018/3/15,4096.16,88161156
2018/3/16,4056.42,84896188
2018/3/19,4074.25,81502882
2018/3/20,4077.7,80605280
2018/3/21,4061.05,97609488
2018/3/22,4020.35,89095259
2018/3/23,3904.94,180080449
2018/3/26,3879.89,115139128
2018/3/27,3913.27,113700711
2018/3/28,3842.72,101494908
2018/3/29,3894.05,116629066
2018/3/30,3898.5,97512270
2018/4/2,3886.92,111242666
2018/4/3,3862.48,95137369
2018/4/4,3854.86,88730609
2018/4/9,3852.93,84105462
2018/4/10,3927.17,106173722
2018/4/11,3938.34,111933021
2018/4/12,3898.64,82699490
2018/4/13,3871.14,71544203
2018/4/16,3808.86,99217770
2018/4/17,3748.64,90610790
2018/4/18,3766.28,106676706
2018/4/19,3811.84,99054060
2018/4/20,3760.85,99282925
2018/4/23,3766.33,90356291
2018/4/24,3843.49,114219525
2018/4/25,3828.7,78172612
2018/4/26,3755.49,87150641
2018/4/27,3756.88,89531726
2018/5/2,3763.65,83301035
2018/5/3,3793,93961118
2018/5/4,3774.6,71554288
2018/5/7,3834.19,87286195
2018/5/8,3878.68,94215157
2018/5/9,3871.62,66712966
2018/5/10,3893.06,70667809
2018/5/11,3872.84,73356604
2018/5/14,3909.29,81975999
2018/5/15,3924.1,76049555
2018/5/16,3892.84,71913646
2018/5/17,3864.05,59030123
2018/5/18,3903.06,72613956
2018/5/21,3921.24,92641737
2018/5/22,3906.21,75368778
2018/5/23,3854.58,83722319
2018/5/24,3827.22,68345022
2018/5/25,3816.5,70836386
2018/5/28,3833.26,71521132
2018/5/29,3804.01,81552662
2018/5/30,3723.37,87913285
2018/5/31,3802.38,92666894
2018/6/1,3770.59,77821813
2018/6/4,3807.58,76624341
2018/6/5,3845.32,78687360
2018/6/6,3837.35,73117237
2018/6/7,3831.01,80256147
2018/6/8,3779.62,83337335
2018/6/11,3779.98,68709834
2018/6/12,3825.95,73206244
2018/6/13,3788.34,66377970
2018/6/14,3773.37,68471322
2018/6/15,3753.43,85488893
2018/6/19,3621.12,160706542
2018/6/20,3635.44,86718098
2018/6/21,3592.97,93908552
2018/6/22,3608.9,75117864
2018/6/25,3560.48,79877078
2018/6/26,3531.11,84985269
2018/6/27,3459.26,81491817
2018/6/28,3423.53,75918051
2018/6/29,3510.98,77257031
2018/7/2,3407.96,84351449
2018/7/3,3409.28,95278693
2018/7/4,3363.75,75157997
2018/7/5,3342.44,81587981
2018/7/6,3365.12,86097579
2018/7/9,3459.18,76601545
2018/7/10,3467.52,69548823
2018/7/11,3407.53,72040950
2018/7/12,3481.06,96353564
2018/7/13,3492.69,72955897
2018/7/16,3472.09,68281999
2018/7/17,3449.38,61983076
2018/7/18,3431.32,66530330
2018/7/19,3428.34,68477716
2018/7/20,3492.89,101984727
2018/7/23,3525.75,119036627
2018/7/24,3581.71,156912435
2018/7/25,3577.75,96758501
2018/7/26,3536.25,90349641
2018/7/27,3521.23,70178104
2018/7/30,3515.08,82116995
2018/7/31,3517.66,67980817
2018/8/1,3447.39,90348617
2018/8/2,3370.96,101308727
2018/8/3,3315.28,70796910
2018/8/6,3273.27,77975083
2018/8/7,3368.87,91783916
2018/8/8,3314.51,79284865
2018/8/9,3397.53,91957572
2018/8/10,3405.02,68967299
2018/8/13,3390.34,76191532
2018/8/14,3372.91,60651446
2018/8/15,3291.98,68174055
2018/8/16,3276.73,76547366
