,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
975,PEP,20170109,103.46,104.16,104.26,103.25,104.56,-1.05,5603539,580477889.61,103.59
976,PEP,20170106,104.56,104.98,105.16,104.12,104.71,-0.14,4109652,430160603.66,104.67
977,PEP,20170105,104.71,104.52,105.12,104.19,104.85,-0.13,5087215,532332333.13,104.64
978,PEP,20170104,104.85,105.11,105.63,104.79,104.65,0.19,3029654,318275756.49,105.05
979,PEP,20170103,104.65,104.94,105.09,104.21,104.63,0.02,3741206,391238899.59,104.58
980,PEP,20161230,104.63,104.71,105.15,104.33,104.99,-0.34,3483969,364558718.63,104.64
981,PEP,20161229,104.99,104.5,105.1,104.48,104.62,0.35,2438075,255693115.63,104.88
982,PEP,20161228,104.62,104.87,105.1,104.52,105.13,-0.49,1878615,196762002.15,104.74
983,PEP,20161227,105.13,105.09,105.32,104.99,105.09,0.04,1504963,158267778.44,105.16
984,PEP,20161223,105.09,104.97,105.25,104.63,105.35,-0.25,1769303,185694029.31,104.95
985,PEP,20161222,105.35,104.55,105.45,104.25,104.7,0.62,2605417,273786337.32,105.08
986,PEP,20161221,104.7,104.82,105.69,104.69,104.9,-0.19,3245168,340864366.25,105.04
987,PEP,20161220,104.9,104.89,105.04,104.37,105.41,-0.48,4903445,513733442.31,104.77
988,PEP,20161219,105.41,105.46,105.87,105.13,105.87,-0.43,3683752,388311702.66,105.41
989,PEP,20161216,105.87,105.55,105.92,105.13,105.3,0.54,7499285,792963146.97,105.74
990,PEP,20161215,105.3,104.23,105.57,104.23,104.47,0.79,4179375,439583778.73,105.18
991,PEP,20161214,104.47,105.88,106.53,104.21,105.63,-1.1,5007527,527289588.58,105.3
992,PEP,20161213,105.63,104.81,106.01,104.68,104.72,0.87,4508645,476042171.36,105.58
993,PEP,20161212,104.72,103.82,104.87,103.67,103.57,1.11,4858363,507941900.23,104.55
994,PEP,20161209,103.57,102.23,104.05,102.04,102.15,1.39,5040176,521589165.59,103.49
995,PEP,20161208,102.15,102.14,102.61,102.0,102.81,-0.64,3993919,408547160.52,102.29
996,PEP,20161207,102.81,101.16,102.93,101.16,101.55,1.24,4873414,498418231.41,102.27
997,PEP,20161206,101.55,101.08,101.61,100.81,100.71,0.83,4828363,489005064.85,101.28
