,ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
1218,PM,20160125,86.68,87.05,87.6,86.51,86.87,-0.22,3258759,283646939.11,87.04
1219,PM,20160122,86.87,86.75,87.17,85.8,85.8,1.25,3677212,318180343.76,86.53
1220,PM,20160121,85.8,85.42,86.2,84.69,85.86,-0.07,5436422,464971199.03,85.53
1221,PM,20160120,85.86,86.68,86.9,84.46,87.47,-1.84,5729551,490626030.04,85.63
1222,PM,20160119,87.47,86.44,87.83,86.44,86.29,1.37,5097266,444822092.57,87.27
1223,PM,20160115,86.29,86.05,86.94,85.11,87.88,-1.81,7420453,638633154.63,86.06
1224,PM,20160114,87.88,88.39,89.06,86.95,88.31,-0.49,8194664,720106099.0,87.88
1225,PM,20160113,88.31,89.0,89.2,88.06,89.09,-0.88,6109297,540997847.97,88.55
1226,PM,20160112,89.09,89.61,89.88,88.16,89.17,-0.09,4742582,421565723.72,88.89
1227,PM,20160111,89.17,87.44,89.33,87.4,86.71,2.84,8020965,712226351.63,88.8
1228,PM,20160108,86.71,87.58,87.65,86.48,87.25,-0.62,5415242,471084329.56,86.99
1229,PM,20160107,87.25,86.68,88.46,86.68,87.85,-0.68,6132453,536760131.96,87.53
1230,PM,20160106,87.85,87.03,88.21,87.03,87.87,-0.02,4861567,426424546.59,87.71
1231,PM,20160105,87.87,87.03,88.23,86.85,87.0,1.0,3923493,344022436.13,87.68
1232,PM,20160104,87.0,86.85,87.05,85.76,87.91,-1.04,4702961,406564864.6,86.45
1233,PM,20151231,87.91,88.48,88.64,87.86,88.98,-1.2,2502107,220462902.17,88.11
1234,PM,20151230,88.98,89.4,89.48,88.78,89.36,-0.43,1790908,159555403.61,89.09
1235,PM,20151229,89.36,89.04,89.48,88.84,88.59,0.87,2212128,197394147.55,89.23
1236,PM,20151228,88.59,88.55,88.79,88.09,88.86,-0.3,1860699,164568231.73,88.44
1237,PM,20151224,88.86,88.75,89.23,88.63,89.08,-0.25,1201729,106896560.93,88.95
1238,PM,20151223,89.08,87.92,89.18,87.86,87.66,1.62,3043357,269938744.88,88.7
1239,PM,20151222,87.66,86.94,87.79,86.24,86.62,1.2,4377820,381974014.69,87.25
1240,PM,20151221,86.62,86.36,86.66,85.74,86.92,-0.35,4058101,349649650.68,86.16
1241,PM,20151218,86.92,88.73,88.73,86.92,89.08,-2.42,10829247,947075131.79,87.46
1242,PM,20151217,89.08,90.07,90.15,88.96,90.15,-1.19,4878699,436273281.88,89.42
1243,PM,20151216,90.15,88.04,90.27,88.0,87.84,2.63,5275246,471647047.34,89.41
1244,PM,20151215,87.84,87.63,88.37,87.13,87.16,0.78,4904938,430075259.3,87.68
1245,PM,20151214,87.16,86.38,87.41,85.89,86.32,0.97,4636824,402259343.02,86.75
1246,PM,20151211,86.32,86.76,87.18,85.96,87.73,-1.61,4740270,409904898.42,86.47
1247,PM,20151210,87.73,87.92,88.32,87.23,88.02,-0.33,4183809,367322933.37,87.8
1248,PM,20151209,88.02,88.51,89.52,87.48,88.77,-0.84,3841040,339121588.24,88.29
1249,PM,20151208,88.77,88.56,88.92,88.07,88.79,-0.02,4119395,364773634.23,88.55
1250,PM,20151207,88.79,89.25,89.64,88.29,89.7,-1.01,3931827,348873396.33,88.73
1251,PM,20151204,89.7,87.41,89.76,87.41,87.34,2.7,7203477,642849099.9,89.24
1252,PM,20151203,87.34,87.56,87.99,87.21,87.3,0.05,6056699,529729845.05,87.46
1253,PM,20151202,87.3,87.55,87.78,87.0,87.78,-0.55,3522627,307793782.41,87.38
1254,PM,20151201,87.78,87.44,87.88,86.7,87.39,0.45,3857752,337360813.61,87.45
1255,PM,20151130,87.39,87.91,88.31,87.2,87.42,-0.03,5970520,523183580.22,87.63
1256,PM,20151127,87.42,87.12,87.68,86.83,87.17,0.29,1944579,170112535.14,87.48
1257,PM,20151125,87.17,86.62,87.27,86.33,86.9,0.31,2676094,232759703.63,86.98
1258,PM,20151124,86.9,86.09,87.25,85.95,86.59,0.36,2821640,244703907.36,86.72
1259,PM,20151123,86.59,86.22,86.76,85.92,85.99,0.7,3029079,261934772.11,86.47
1260,PM,20151120,85.99,86.7,87.65,85.84,86.25,-0.3,4823473,417607103.62,86.58
1261,PM,20151119,86.25,85.68,86.49,85.64,85.43,0.96,4507824,388708752.94,86.23
1262,PM,20151118,85.43,84.08,85.48,83.92,83.84,1.9,4186254,354985539.69,84.8
1263,PM,20151117,83.84,84.3,84.64,83.54,84.35,-0.6,3173896,267019257.92,84.13
1264,PM,20151116,84.35,83.4,84.35,83.33,83.4,1.14,3722746,313070634.92,84.1
1265,PM,20151113,83.4,83.86,84.43,83.27,84.02,-0.74,3471791,290545880.79,83.69
1266,PM,20151112,84.02,84.53,84.91,83.76,85.05,-1.21,3948218,332474707.81,84.21
1267,PM,20151111,85.05,85.28,85.83,85.0,84.96,0.11,2563555,218695346.61,85.31
1268,PM,20151110,84.96,85.29,85.48,84.73,85.25,-0.34,2542000,215880094.81,84.93
1269,PM,20151109,85.25,85.76,85.84,84.73,86.37,-1.3,4029952,343510303.63,85.24
1270,PM,20151106,86.37,87.36,87.36,85.12,88.16,-2.03,5456203,468753830.48,85.91
1271,PM,20151105,88.16,88.04,88.32,87.78,88.07,0.1,2631611,231744677.88,88.06
1272,PM,20151104,88.07,88.17,88.43,87.63,88.34,-0.31,3978404,350448855.87,88.09
1273,PM,20151103,88.34,88.39,88.52,87.7,88.81,-0.53,3445352,303579956.24,88.11
1274,PM,20151102,88.81,88.73,88.98,88.19,88.4,0.46,2857133,253045132.71,88.57
1275,PM,20151030,88.4,89.33,89.47,88.4,89.26,-0.96,4062551,361002750.67,88.86
1276,PM,20151029,89.26,89.1,89.46,88.1,89.4,-0.16,2976536,264430680.9,88.84
1277,PM,20151028,89.4,89.3,89.89,88.23,88.82,0.65,3231427,288184802.8,89.18
1278,PM,20151027,88.82,89.0,89.32,88.38,89.7,-0.98,3283774,291544627.12,88.78
1279,PM,20151026,89.7,89.65,90.08,89.33,89.63,0.08,4124496,369986663.96,89.7
1280,PM,20151023,89.63,89.94,89.94,88.76,89.55,0.09,4307871,385035756.68,89.38
1281,PM,20151022,89.55,88.83,89.94,88.63,88.98,0.64,4930828,440829311.78,89.4
1282,PM,20151021,88.98,88.9,89.68,88.37,88.72,0.29,3643787,324780930.63,89.13
1283,PM,20151020,88.72,88.61,88.85,88.28,88.42,0.34,4495785,398661486.98,88.67
