Day,Year,Month,Day_num,Last_day_value,Today_value
2016/3/1,2016,3,42430,-458.91875709000016,-450.5666329
2016/3/2,2016,3,42431,-458.71052983916684,-444.45362570000003
2016/3/3,2016,3,42432,-458.49368784666683,-440.81218960000007
2016/3/4,2016,3,42433,-458.17484715916686,-429.7032914
2016/3/7,2016,3,42436,-457.8992363008335,-434.6584293000001
2016/3/8,2016,3,42437,-457.6102145658335,-439.2239034
2016/3/9,2016,3,42438,-457.34433710250016,-441.17470599999996
2016/3/10,2016,3,42439,-457.0941767333335,-440.36787589999994
2016/3/11,2016,3,42440,-456.85608601416686,-440.3811625
2016/3/14,2016,3,42443,-456.64252432416686,-443.7152498
2016/3/15,2016,3,42444,-456.44594769666685,-436.6113903
2016/3/16,2016,3,42445,-456.2719316325002,-439.97744580000005
2016/3/17,2016,3,42446,-456.1130529941669,-438.8542698
2016/3/18,2016,3,42447,-455.9261407075002,-442.1848078
2016/3/21,2016,3,42450,-455.69936381166696,-436.02437599999996
2016/3/22,2016,3,42451,-455.4511735383336,-433.4707499
2016/3/23,2016,3,42452,-455.1991150191669,-432.9809868
2016/3/24,2016,3,42453,-454.8439541008336,-425.30042019999996
2016/3/25,2016,3,42454,-454.465365079167,-423.09674680000006
2016/3/28,2016,3,42457,-454.0418287908336,-418.3377002
2016/3/29,2016,3,42458,-453.6147281483336,-419.94962630000003
2016/3/30,2016,3,42459,-453.17189095916694,-419.2733447
2016/3/31,2016,3,42460,-452.73932069583356,-420.3012783
2016/4/1,2016,4,42461,-452.3903481066669,-422.8855866
2016/4/5,2016,4,42465,-452.03378677250026,-422.38509569999997
2016/4/6,2016,4,42466,-451.59206688583356,-410.6477483
2016/4/7,2016,4,42467,-451.18392460333354,-414.0453906
2016/4/8,2016,4,42468,-450.8036132483336,-418.4074416
2016/4/11,2016,4,42471,-450.49077473500023,-424.21340219999996
2016/4/12,2016,4,42472,-450.17504760000025,-423.1526513
2016/4/13,2016,4,42473,-449.89628876583356,-425.7562166999999
2016/4/14,2016,4,42474,-449.60688805083356,-425.15996720000004
2016/4/15,2016,4,42475,-449.2836954191669,-423.07808200000005
2016/4/18,2016,4,42478,-448.99081411833356,-424.41130589999995
2016/4/19,2016,4,42479,-448.7735377441669,-424.918492
2016/4/20,2016,4,42480,-448.6332442000002,-427.56578780000007
2016/4/21,2016,4,42481,-448.4562161558335,-425.5548085
2016/4/22,2016,4,42482,-448.1964796475002,-418.44046339999994
2016/4/25,2016,4,42485,-447.96569403333353,-421.1841524
2016/4/26,2016,4,42486,-447.7472247400002,-421.79774380000003
2016/4/27,2016,4,42487,-447.4555624500002,-420.7236288
2016/4/28,2016,4,42488,-447.12973612166684,-419.3055652
2016/4/29,2016,4,42489,-446.8109307925002,-414.4565818
2016/5/3,2016,5,42493,-446.42731972583346,-405.10112069999997
2016/5/4,2016,5,42494,-446.09183648666675,-408.9667233
2016/5/5,2016,5,42495,-445.7644765766667,-407.43277439999997
2016/5/6,2016,5,42496,-445.49121091083344,-412.52230249999997
2016/5/9,2016,5,42499,-445.2174749866668,-414.7194433
2016/5/10,2016,5,42500,-444.9313583933335,-413.36478470000003
2016/5/11,2016,5,42501,-444.5609531916668,-408.351975
2016/5/12,2016,5,42502,-444.18701595166675,-409.1961463
2016/5/13,2016,5,42503,-443.859992135,-414.2243559
2016/5/16,2016,5,42506,-443.52832564500005,-413.45343710000003
2016/5/17,2016,5,42507,-443.23444287750004,-417.51375010000004
2016/5/18,2016,5,42508,-442.9768876458333,-423.19783960000007
2016/5/19,2016,5,42509,-442.69965370666665,-421.94036140000003
2016/5/20,2016,5,42510,-442.37011269166663,-416.418744
2016/5/23,2016,5,42513,-442.02687197999995,-413.3695257
2016/5/24,2016,5,42514,-441.7017048833333,-415.85671010000004
2016/5/25,2016,5,42515,-441.332137645,-416.07580010000004
2016/5/26,2016,5,42516,-441.01069979333334,-415.3061852
2016/5/27,2016,5,42517,-440.6878523125,-415.4760753
2016/5/30,2016,5,42520,-440.40101772750006,-411.8688954
2016/5/31,2016,5,42521,-440.03141307333334,-403.24368300000003
2016/6/1,2016,6,42522,-439.62596849,-403.80274269999995
2016/6/2,2016,6,42523,-439.18117920500003,-399.8603496
2016/6/3,2016,6,42524,-438.5760132141667,-383.4989634
2016/6/6,2016,6,42527,-438.05551873666667,-391.21806269999996
2016/6/7,2016,6,42528,-437.50634327250003,-389.33514360000004
2016/6/8,2016,6,42529,-436.97540705000006,-393.0802691
2016/6/13,2016,6,42534,-436.52985350166665,-400.52410810000003
2016/6/14,2016,6,42535,-436.03940344750004,-394.6954983
2016/6/15,2016,6,42536,-435.5106590341667,-390.70117200000004
2016/6/16,2016,6,42537,-435.0200631833333,-393.156695
2016/6/17,2016,6,42538,-434.5009384433333,-388.6003517
2016/6/20,2016,6,42541,-434.08954473250003,-390.8799527
2016/6/21,2016,6,42542,-433.6816455925,-393.3479465
2016/6/22,2016,6,42543,-433.21712046833335,-388.6921217
2016/6/23,2016,6,42544,-432.7837647275,-390.77785760000006
2016/6/24,2016,6,42545,-432.37049630999996,-393.5838034
2016/6/27,2016,6,42548,-431.79344917249995,-379.44214489999996
2016/6/28,2016,6,42549,-431.21963759499994,-378.97688430000005
2016/6/29,2016,6,42550,-430.6393508074999,-379.1116689
2016/6/30,2016,6,42551,-430.0233057591666,-375.3948707
2016/7/1,2016,7,42552,-429.37996001583326,-380.99388799999997
2016/7/4,2016,7,42555,-428.6974813541666,-373.2524797
2016/7/5,2016,7,42556,-427.95554565,-366.54885889999997
2016/7/6,2016,7,42557,-426.98317292666655,-349.4168914
2016/7/7,2016,7,42558,-426.0366140958332,-349.8715207
2016/7/8,2016,7,42559,-425.11189241249997,-357.61501410000005
2016/7/11,2016,7,42562,-424.1161595508333,-352.1404066
2016/7/12,2016,7,42563,-423.0621840983333,-342.49742510000004
2016/7/13,2016,7,42564,-422.11510139583334,-350.1412299
2016/7/14,2016,7,42565,-421.1189448691667,-350.33592810000005
2016/7/15,2016,7,42566,-420.1232656908333,-349.8946992
2016/7/18,2016,7,42569,-419.2307704191666,-351.2547235
2016/7/19,2016,7,42570,-418.34081052416667,-359.6386311
2016/7/20,2016,7,42571,-417.42862735666665,-359.2387658
2016/7/21,2016,7,42572,-416.48853456333325,-353.3845723
2016/7/22,2016,7,42573,-415.60606025499993,-360.0725917
2016/7/25,2016,7,42576,-414.6621819733333,-356.755023
2016/7/26,2016,7,42577,-413.65817405249993,-348.7398838
2016/7/27,2016,7,42578,-412.66878207833327,-353.9681994
2016/7/28,2016,7,42579,-411.69707272833324,-351.80381889999995
2016/7/29,2016,7,42580,-410.7541629633333,-354.5719162
2016/8/1,2016,8,42583,-409.8935384758333,-361.05472369999995
2016/8/2,2016,8,42584,-409.03188814583325,-361.82717310000004
2016/8/3,2016,8,42585,-408.1761743091665,-361.19289449999997
2016/8/4,2016,8,42586,-407.3145022249999,-361.7233481
2016/8/5,2016,8,42587,-406.42693433999995,-362.14018480000004
2016/8/8,2016,8,42590,-405.55151492416655,-359.84306739999994
2016/8/9,2016,8,42591,-404.5983931466665,-352.0975547
2016/8/10,2016,8,42592,-403.6561007791666,-354.0892599
2016/8/11,2016,8,42593,-402.7004252308332,-351.0953276
2016/8/12,2016,8,42594,-401.78348364916656,-350.9295912
2016/8/15,2016,8,42597,-400.8886685599999,-348.8757275
2016/8/16,2016,8,42598,-400.11610358249993,-358.1477312
2016/8/17,2016,8,42599,-399.3059098441666,-359.45518139999996
2016/8/18,2016,8,42600,-398.5489536466666,-361.25072289999997
2016/8/19,2016,8,42601,-397.77456216833326,-361.2969436
2016/8/22,2016,8,42604,-397.0238013824999,-360.47533860000004
2016/8/23,2016,8,42605,-396.3278351666666,-360.9376798
2016/8/24,2016,8,42606,-395.67599436166654,-362.591293
2016/8/25,2016,8,42607,-395.13616317416654,-364.92354889999996
2016/8/26,2016,8,42608,-394.56815567666655,-366.4975296
2016/8/29,2016,8,42611,-393.9123951449999,-360.53263960000004
2016/8/30,2016,8,42612,-393.2536775633332,-362.1285962
2016/8/31,2016,8,42613,-392.56530751333315,-357.76346989999996
2016/9/1,2016,9,42614,-391.8901092224998,-359.35736760000003
2016/9/2,2016,9,42615,-391.2123042016665,-362.3786473
2016/9/5,2016,9,42618,-390.57094242083315,-359.64797660000005
2016/9/6,2016,9,42619,-389.8890192141664,-358.146661
2016/9/7,2016,9,42620,-389.24531658666643,-361.6099545
2016/9/8,2016,9,42621,-388.58059348583316,-362.41803569999996
2016/9/9,2016,9,42622,-387.97772275416645,-363.6798882
2016/9/12,2016,9,42625,-387.45363758666645,-370.5805298
2016/9/13,2016,9,42626,-386.9136476383331,-368.18219300000004
2016/9/14,2016,9,42627,-386.44525133333315,-369.09286360000004
2016/9/19,2016,9,42632,-385.9885231458331,-368.2893643
2016/9/20,2016,9,42633,-385.6141297124998,-373.4104882
2016/9/21,2016,9,42634,-385.2335140266665,-374.275744
2016/9/22,2016,9,42635,-384.8323411508332,-371.13259960000005
2016/9/23,2016,9,42636,-384.41686666083314,-370.4443395
2016/9/26,2016,9,42639,-384.0557019516665,-379.5458215
2016/9/27,2016,9,42640,-383.6779365824998,-377.0532514
2016/9/28,2016,9,42641,-383.42110761083313,-379.82827169999996
2016/9/29,2016,9,42642,-383.11413138999984,-377.2082441
2016/9/30,2016,9,42643,-382.71229201999984,-370.1867172
2016/10/10,2016,10,42653,-382.2185846141665,-364.9685135
2016/10/11,2016,10,42654,-381.6846103191665,-359.0757359
2016/10/12,2016,10,42655,-381.15478480416647,-362.17715489999995
2016/10/13,2016,10,42656,-380.6466381858332,-364.182373
2016/10/14,2016,10,42657,-380.1416000766665,-362.47350889999996
2016/10/17,2016,10,42660,-379.65171410749986,-365.6249896
2016/10/18,2016,10,42661,-379.11731491583316,-360.790589
2016/10/19,2016,10,42662,-378.5662385974999,-361.4366296
2016/10/20,2016,10,42663,-378.04047030916655,-362.4626139
2016/10/21,2016,10,42664,-377.58489853666657,-363.77185069999996
2016/10/24,2016,10,42667,-377.08448122083325,-361.1340745
