Year,Season,Month,Day,Day_Num,Volume,Close,C1,C2,G,NX(yi mei yuan),ISM,GDP Season,new_cases,new_deaths,GDP_per_day
2019,1,1,2019/1/14,43479,277560000,23909.83984,-1.791673601,5.192401756,1388.75,-511.3,54.3,1.89E+13,0,0,2.92E+11
2019,1,1,2019/1/15,43480,291570000,24065.58984,0.347016773,4.619437125,1388.75,-511.3,54.3,1.89E+13,0,0,3.05E+11
2019,1,1,2019/1/16,43481,302830000,24207.16016,-0.296774846,5.081308948,1388.75,-511.3,54.3,1.89E+13,0,0,3.04E+11
2019,1,1,2019/1/17,43482,288590000,24370.09961,-0.04821741,4.699280189,1388.75,-511.3,54.3,1.89E+13,0,0,2.97E+11
2019,1,1,2019/1/18,43483,372970000,24706.34961,1.494263704,4.394249615,1388.75,-511.3,54.3,1.89E+13,0,0,2.98E+11
2019,1,1,2019/1/22,43487,338480000,24404.48047,0.719933065,4.352522141,1388.75,-511.3,54.3,1.89E+13,0,0,3.07E+11
2019,1,1,2019/1/23,43488,318600000,24575.61914,4.450780392,4.240934256,1388.75,-511.3,54.3,1.89E+13,0,0,3.10E+11
2019,1,1,2019/1/24,43489,320170000,24553.24023,3.313778839,4.858741032,1388.75,-511.3,54.3,1.89E+13,0,0,2.95E+11
2019,1,1,2019/1/25,43490,376890000,24737.19922,1.84953596,4.707079468,1388.75,-511.3,54.3,1.89E+13,0,0,3.00E+11
2019,1,1,2019/1/28,43493,347170000,24528.2207,1.636156821,5.018721465,1388.75,-511.3,54.3,1.89E+13,0,0,3.00E+11
2019,1,1,2019/1/29,43494,330870000,24579.96094,1.510993972,4.808159565,1388.75,-511.3,54.3,1.89E+13,0,0,3.09E+11
2019,1,1,2019/1/30,43495,397330000,25014.85938,1.594620131,3.531123754,1388.75,-511.3,54.3,1.89E+13,0,0,3.13E+11
2019,1,1,2019/1/31,43496,507350000,24999.66992,4.225809384,2.905624514,1388.75,-511.3,54.3,1.89E+13,0,0,3.00E+11
2019,1,2,2019/2/1,43497,372090000,25063.89063,2.860914636,-1.338424279,1388.75,-500,56.6,1.89E+13,0,0,3.12E+11
2019,1,2,2019/2/4,43500,298540000,25239.36914,4.246086865,-1.689736235,1388.75,-500,56.6,1.89E+13,0,0,3.12E+11
2019,1,2,2019/2/5,43501,310650000,25411.51953,4.398826729,-1.466337952,1388.75,-500,56.6,1.89E+13,0,0,3.20E+11
2019,1,2,2019/2/6,43502,247590000,25390.30078,4.761856816,-1.507710872,1388.75,-500,56.6,1.89E+13,0,0,3.20E+11
2019,1,2,2019/2/7,43503,295460000,25169.5293,5.100237309,-1.383654312,1388.75,-500,56.6,1.89E+13,0,0,3.18E+11
2019,1,2,2019/2/8,43504,248210000,25106.33008,4.615390669,-1.578607539,1388.75,-500,56.6,1.89E+13,0,0,3.10E+11
2019,1,2,2019/2/11,43507,241700000,25053.10938,5.345346191,-1.443230493,1388.75,-500,56.6,1.89E+13,0,0,3.13E+11
2019,1,2,2019/2/12,43508,278110000,25425.75977,6.789052081,-1.63542858,1388.75,-500,56.6,1.89E+13,0,0,3.11E+11
